,Time Window,Mac,RSSI,Frame_length,MAC Period,Occurrences,Fingerprint,No.,latitude,longitude,gnss_altitude,Classification,utm_x,utm_y,distance
118,1115.0,ed:aa:7a:08:7c:b6,-92.0,8.0,10.6,0.2,a,26117421,58.66440582,16.45597839,203.8000031,18.0,584457.6562826092,6503601.043699477,84.31909292866256
109,1115.0,52:d9:e5:be:00:d9,-99.5,17.0,10.6,0.4,a,26117422,58.66440582,16.455977439999998,204.0500031,0.0,584457.601180933,6503601.042503238,159.84671064343198
114,1115.0,74:cf:ba:04:75:56,-98.0,17.0,10.6,0.2,a,26117424,58.66440582,16.45597839,203.8000031,20.0,584457.6562826092,6503601.043699477,140.6527242105238
128,1120.0,f5:f7:c7:9e:a5:1f,-97.0,56.0,10.6,0.4,BSC IP65 12/5 HQ2232PD6T3,26117452,58.66440582,16.45597267,204.1999969,12.0,584457.3245125168,6503601.036496877,129.1549665014884
126,1120.0,e8:70:7b:ae:08:ad,-98.5,8.0,10.6,0.4,a,26117453,58.66440773,16.45596981,204.5499954,39.0,584457.1540112225,6503601.245532539,146.7799267622069
124,1120.0,7e:d0:6d:e2:84:d7,-85.0,17.0,10.6,1.0,a,26117454,58.66440582,16.45597267,204.1999969,61.0,584457.3245125168,6503601.036496877,46.4158883361278
127,1120.0,ed:aa:7a:08:7c:b6,-94.5,8.0,10.6,0.4,a,26117456,58.66440773,16.45596981,204.5499954,18.0,584457.1540112225,6503601.245532539,104.35626297753913
125,1120.0,c5:7b:cc:06:8a:51,-97.0,28.0,10.6,0.6,a,26117457,58.66440836666667,16.45596885666667,204.66666156666668,1.0,584457.097177462,6503601.315211099,129.1549665014884
123,1120.0,60:18:fc:6c:6b:20,-95.0,17.0,10.6,0.2,a,26117458,58.66440582,16.45597267,204.1999969,7.0,584457.3245125168,6503601.036496877,108.90229622637305
120,1120.0,44:20:a9:69:0c:92,-98.0,18.0,10.6,0.4,a,26117461,58.66440582,16.45597267,204.1999969,16.0,584457.3245125168,6503601.036496877,140.6527242105238
121,1120.0,52:d9:e5:be:00:d9,-98.0,17.0,10.6,0.2,a,26117463,58.66440582,16.45597267,204.1999969,0.0,584457.3245125168,6503601.036496877,140.6527242105238
122,1120.0,56:01:80:05:e1:b7,-99.5,18.0,10.6,0.4,a,26117468,58.66440964,16.45596695,204.8999939,23.0,584456.9835099465,6503601.454568212,159.84671064343198
133,1125.0,7e:d0:6d:e2:84:d7,-91.0,17.0,10.6,1.2,a,26117473,58.664415358333336,16.45596854,204.8500036,61.0,584457.0619122072,6503602.093182352,77.4263682681127
132,1125.0,60:18:fc:6c:6b:20,-95.0,17.0,3.4507329999999,0.4,a,26117474,58.664428709999996,16.455979345000003,205.0500031,7.0,584457.65635146,6503603.593205602,108.90229622637305
140,1125.0,f5:f7:c7:9e:a5:1f,-96.5,51.5,3.4507329999999,1.2,a,26117475,58.664430618333334,16.455980935000003,205.1000036,12.0,584457.743961949,6503603.807659132,123.76350284724813
136,1125.0,c6:86:5b:f6:89:b6,-100.0,27.0,10.6,0.2,a,26117478,58.66441345,16.45596695,204.8000031,22.0,584456.9743016376,6503601.878728835,166.81005372000593
134,1125.0,c1:8c:19:46:d3:df,-98.0,8.0,10.6,0.2,a,26117480,58.66441345,16.45596695,204.8000031,64.0,584456.9743016376,6503601.878728835,140.6527242105238
139,1125.0,ed:aa:7a:08:7c:b6,-94.0,8.0,3.4507329999999,0.4,a,26117482,58.664428709999996,16.455979345000003,205.0500031,18.0,584457.65635146,6503603.593205602,100.0
131,1125.0,5e:56:88:7a:1d:09,-98.0,17.0,10.6,0.2,a,26117485,58.66441345,16.45596695,204.8000031,49.0,584456.9743016376,6503601.878728835,140.6527242105238
130,1125.0,56:01:80:05:e1:b7,-98.0,18.0,10.6,0.2,a,26117486,58.66441345,16.45596695,204.8000031,23.0,584456.9743016376,6503601.878728835,140.6527242105238
138,1125.0,e8:a8:e0:28:59:e0,-102.0,27.0,10.6,0.2,a,26117487,58.66441345,16.45596695,204.8000031,21.0,584456.9743016376,6503601.878728835,197.83188827841644
129,1125.0,44:20:a9:69:0c:92,-96.0,18.0,3.4507329999999,1.0,a,26117488,58.66442565999999,16.455975344000002,205.2800049,16.0,584457.4316580773,6503603.2486163955,118.59710123376694
135,1125.0,c5:7b:cc:06:8a:51,-97.5,28.0,3.4507329999999,0.8,a,26117493,58.664434435000004,16.455984115,205.2000046,1.0,584457.9191828964,6503604.2365662055,134.78129649084582
137,1125.0,e8:70:7b:ae:08:ad,-92.0,8.0,10.6,0.2,a,26117495,58.6644249,16.45597649,205.1000061,39.0,584457.499964902,6503603.165449967,84.31909292866256
143,1130.0,44:20:a9:69:0c:92,-96.5,18.0,2.9349059999999554,2.0,a,26117523,58.664334489,16.455957796,207.39999694,16.0,584456.6341915042,6503593.076612515,123.76350284724813
147,1130.0,c5:7b:cc:06:8a:51,-93.0,41.5,2.9349059999999554,4.0,a,26117524,58.6643674845,16.4559664745,207.29499893000002,1.0,584457.0578147935,6503596.76087153,91.82542835656287
148,1130.0,e8:70:7b:ae:08:ad,-96.0,8.0,10.6,0.2,a,26117531,58.66443634,16.45598221,207.3999939,39.0,584457.8040854218,6503604.446247742,118.59710123376694
150,1130.0,ed:aa:7a:08:7c:b6,-91.5,8.0,2.9349059999999554,0.4,a,26117532,58.66432953,16.455954554999998,207.5499954,18.0,584456.4581925917,6503592.520454735,80.7992644838296
145,1130.0,56:01:80:05:e1:b7,-100.0,25.0,2.9349059999999554,0.6,a,26117534,58.664293926666666,16.45594533666667,207.59999589999998,23.0,584456.009559401,6503588.545190561,166.81005372000593
